year,model,displ,trans,cyl,manufacturer,cty,hwy,eng.dscr,T,G,S,twodoor.l,fourdoor.p,hatch.p
1984,SENTRA WAGON,103,manual(m5),4,"NISSAN MOTOR COMPANY, LTD.",43,59,(DIESEL),FALSE,FALSE,FALSE,NA,83,NA
1984,COLT VISTA,122,auto(3),4,DODGE,26,33,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,COLT VISTA,122,manual(m4X2),4,DODGE,27,35,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,COLT VISTA,122,manual(m5),4,DODGE,27,41,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,ESCORT WAGON,98,auto(3),4,FORD MOTOR COMPANY,26,36,NA,FALSE,FALSE,FALSE,NA,86,NA
1984,ESCORT WAGON,98,manual(m4),4,FORD MOTOR COMPANY,29,44,NA,FALSE,FALSE,FALSE,NA,86,NA
1984,ESCORT WAGON,98,manual(m5),4,FORD MOTOR COMPANY,27,44,NA,FALSE,FALSE,FALSE,NA,86,NA
1984,ESCORT WAGON,98,auto(3),4,FORD MOTOR COMPANY,26,38,(FFS),FALSE,FALSE,FALSE,NA,86,NA
1984,ESCORT WAGON,98,manual(m5),4,FORD MOTOR COMPANY,28,42,(FFS),FALSE,FALSE,FALSE,NA,86,NA
1984,ESCORT WAGON,122,manual(m5),4,FORD MOTOR COMPANY,41,56,(DIESEL),FALSE,FALSE,FALSE,NA,86,NA
1984,CIVIC WAGON,91,auto(3),4,HONDA,30,38,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,CIVIC WAGON,91,manual(m5),4,HONDA,33,46,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,LYNX WAGON,98,auto(3),4,LINCOLN-MERCURY,26,36,NA,FALSE,FALSE,FALSE,NA,86,NA
1984,LYNX WAGON,98,manual(m4),4,LINCOLN-MERCURY,29,44,NA,FALSE,FALSE,FALSE,NA,86,NA
1984,LYNX WAGON,98,manual(m5),4,LINCOLN-MERCURY,27,44,NA,FALSE,FALSE,FALSE,NA,86,NA
1984,LYNX WAGON,122,manual(m5),4,LINCOLN-MERCURY,41,56,(DIESEL),FALSE,FALSE,FALSE,NA,86,NA
1984,FIRENZA CRUISER WAGON,110,auto(3),4,OLDSMOBILE,27,40,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,FIRENZA CRUISER WAGON,110,manual(m5),4,OLDSMOBILE,29,45,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,FIRENZA CRUISER WAGON,121,auto(3),4,OLDSMOBILE,23,37,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,FIRENZA CRUISER WAGON,121,manual(m4),4,OLDSMOBILE,27,42,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,FIRENZA CRUISER WAGON,121,manual(m5),4,OLDSMOBILE,27,43,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,COLT VISTA,122,auto(3),4,PLYMOUTH,26,33,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,COLT VISTA,122,manual(m4X2),4,PLYMOUTH,27,35,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,COLT VISTA,122,manual(m5),4,PLYMOUTH,27,41,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,2000 SUNBIRD WAGON,110,auto(3),4,PONTIAC,27,40,(FFS),FALSE,FALSE,FALSE,NA,91,NA
1984,2000 SUNBIRD WAGON,110,manual(m5),4,PONTIAC,29,45,(FFS),FALSE,FALSE,FALSE,NA,91,NA
1984,2000 SUNBIRD WAGON,121,manual(m4),4,PONTIAC,27,42,(FFS),FALSE,FALSE,FALSE,NA,91,NA
1984,SPORTWAGON,132,auto(3),4,RENAULT,22,31,(FFS),FALSE,FALSE,FALSE,NA,86,NA
1984,SPORTWAGON,132,manual(m5),4,RENAULT,25,39,(FFS),FALSE,FALSE,FALSE,NA,86,NA
1984,SUBARU WAGON,109,auto(3),4,SUBARU,26,33,(FFS),FALSE,FALSE,FALSE,NA,79,NA
1984,SUBARU WAGON,109,manual(m5),4,SUBARU,29,42,(FFS),FALSE,FALSE,FALSE,NA,79,NA
1984,CRESSIDA WAGON,168,auto(4),6,TOYOTA,22,31,(FFS),FALSE,FALSE,FALSE,NA,87,NA
1984,TERCEL WAGON,89,auto(3),4,TOYOTA,32,39,(FFS),FALSE,FALSE,FALSE,NA,90,NA
1984,TERCEL WAGON,89,manual(m5),4,TOYOTA,33,49,(FFS),FALSE,FALSE,FALSE,NA,90,NA
1984,TERCEL WAGON 4WD,89,auto(3),4,TOYOTA,28,34,(FFS),FALSE,FALSE,FALSE,NA,90,NA
1984,TERCEL WAGON 4WD,89,manual(m5),4,TOYOTA,31,42,(FFS),FALSE,FALSE,FALSE,NA,90,NA
1984,QUANTUM WAGON,97,manual(m5),4,VOLKSWAGEN,38,49,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,91,NA
1984,QUANTUM WAGON,97,manual(m5),4,VOLKSWAGEN,37,49,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,91,NA
1984,QUANTUM WAGON,131,auto(3),5,VOLKSWAGEN,20,28,(FFS),FALSE,FALSE,FALSE,NA,91,NA
